iter	Passed	Remaining
0	149	149785
1	151	75775
2	159	52910
3	160	40005
4	162	32271
5	163	27113
6	164	23380
7	165	20582
8	167	18403
9	171	16952
10	173	15596
11	175	14447
12	176	13406
13	177	12519
14	178	11749
15	180	11077
16	181	10485
17	183	9993
18	186	9641
19	188	9232
20	189	8849
21	191	8502
22	193	8213
23	194	7908
24	197	7704
25	200	7500
26	201	7256
27	202	7031
28	203	6820
29	204	6624
30	206	6449
31	207	6274
32	208	6109
33	209	5954
34	212	5866
35	214	5740
36	215	5607
37	216	5485
38	217	5368
39	219	5257
40	220	5150
41	221	5048
42	224	4991
43	226	4926
44	227	4836
45	229	4749
46	230	4669
47	231	4591
48	232	4514
49	233	4441
50	234	4371
51	236	4304
52	239	4278
53	240	4214
54	241	4151
55	242	4090
56	243	4034
57	245	3980
58	246	3926
59	247	3875
60	248	3825
61	249	3777
62	250	3730
63	254	3728
64	256	3694
65	258	3659
66	259	3616
67	260	3574
68	261	3532
69	262	3492
70	263	3454
71	265	3416
72	266	3378
73	271	3399
74	273	3370
75	274	3339
76	276	3308
77	277	3285
78	279	3253
79	280	3221
80	281	3190
81	285	3200
82	287	3179
83	288	3151
84	290	3122
85	291	3094
86	292	3068
87	293	3041
88	294	3015
89	295	2989
90	299	2993
91	302	2982
92	303	2959
93	304	2936
94	305	2912
95	307	2890
96	308	2868
97	309	2847
98	310	2825
99	313	2824
100	316	2814
101	317	2794
102	318	2773
103	319	2753
104	320	2733
105	321	2713
106	322	2693
107	323	2674
108	324	2656
109	326	2637
110	327	2626
111	329	2608
112	330	2591
113	331	2573
114	332	2559
115	333	2544
116	334	2526
117	336	2512
118	337	2498
119	338	2484
120	343	2492
121	344	2481
122	346	2468
123	347	2453
124	348	2438
125	349	2423
126	350	2407
127	351	2393
128	352	2379
129	353	2366
130	359	2384
131	360	2373
132	362	2362
133	363	2350
134	365	2339
135	366	2330
136	368	2319
137	369	2307
138	373	2311
139	375	2308
140	376	2296
141	377	2281
142	378	2269
143	379	2257
144	381	2247
145	382	2235
146	383	2224
147	386	2225
148	389	2224
149	390	2215
150	391	2203
151	393	2192
152	394	2181
153	395	2171
154	396	2160
155	397	2149
156	398	2139
157	401	2141
158	404	2138
159	405	2128
160	406	2116
161	407	2106
162	408	2096
163	409	2087
164	410	2078
165	411	2068
166	412	2059
167	415	2056
168	417	2051
169	418	2042
170	419	2033
171	420	2025
172	421	2016
173	423	2008
174	424	2000
175	425	1992
176	426	1984
177	428	1976
178	430	1976
179	433	1974
180	434	1966
181	436	1959
182	437	1952
183	438	1944
184	439	1936
185	440	1928
186	441	1920
187	443	1914
188	447	1920
189	449	1915
190	450	1908
191	452	1902
192	453	1895
193	455	1890
194	456	1884
195	460	1886
196	462	1884
197	464	1881
198	465	1874
199	466	1866
200	467	1859
201	469	1852
202	470	1848
203	472	1842
204	479	1858
205	481	1854
206	482	1848
207	484	1844
208	486	1841
209	490	1846
210	494	1848
211	495	1842
212	497	1837
213	498	1832
214	500	1827
215	502	1822
216	505	1825
217	507	1822
218	510	1820
219	512	1815
220	513	1811
221	515	1806
222	516	1801
223	519	1801
224	522	1799
225	524	1795
226	525	1790
227	527	1785
228	528	1779
229	530	1774
230	531	1769
231	541	1793
232	543	1788
233	544	1782
234	545	1777
235	548	1774
236	555	1786
237	556	1782
238	557	1776
239	559	1771
240	561	1769
241	563	1764
242	567	1769
243	571	1770
244	572	1765
245	574	1760
246	575	1755
247	577	1751
248	581	1754
249	586	1759
250	587	1754
251	589	1748
252	590	1744
253	592	1738
254	593	1733
255	601	1746
256	602	1741
257	603	1736
258	606	1734
259	607	1728
260	608	1723
261	615	1733
262	617	1729
263	618	1724
264	619	1719
265	621	1714
266	622	1708
267	623	1703
268	630	1713
269	632	1711
270	634	1706
271	635	1701
272	637	1698
273	639	1693
274	645	1702
275	647	1699
276	649	1694
277	650	1689
278	652	1685
279	653	1680
280	654	1675
281	660	1681
282	662	1679
283	664	1674
284	665	1668
285	666	1663
286	667	1657
287	668	1652
288	669	1647
289	673	1649
290	676	1648
291	677	1643
292	679	1638
293	680	1633
294	681	1628
295	682	1623
296	684	1619
297	687	1619
298	690	1617
299	691	1612
300	692	1607
301	693	1602
302	694	1597
303	695	1593
304	696	1588
305	698	1583
306	701	1583
307	704	1583
308	706	1578
309	707	1574
310	708	1569
311	709	1565
312	710	1560
313	712	1555
314	713	1550
315	716	1550
316	719	1550
317	720	1545
318	721	1540
319	722	1536
320	723	1531
321	725	1527
322	726	1522
323	727	1518
324	731	1520
325	733	1516
326	734	1511
327	735	1507
328	736	1502
329	737	1498
330	739	1493
331	740	1489
332	741	1484
333	742	1480
334	743	1476
335	746	1475
336	749	1474
337	751	1470
338	752	1467
339	754	1464
340	755	1460
341	757	1456
342	758	1452
343	763	1456
344	765	1453
345	767	1450
346	768	1446
347	769	1442
348	771	1438
349	772	1434
350	773	1429
351	776	1430
352	778	1426
353	779	1421
354	780	1417
355	781	1413
356	782	1409
357	783	1405
358	784	1401
359	785	1397
360	787	1393
361	789	1392
362	793	1391
363	794	1387
364	795	1383
365	796	1379
366	797	1375
367	798	1371
368	799	1367
369	801	1363
370	802	1359
371	807	1363
372	808	1359
373	810	1355
374	811	1352
375	812	1348
376	813	1344
377	814	1340
378	815	1336
379	816	1332
380	819	1331
381	821	1328
382	822	1324
383	823	1321
384	825	1318
385	826	1314
386	827	1310
387	828	1307
388	829	1303
389	830	1299
390	832	1295
391	835	1295
392	838	1294
393	839	1291
394	841	1288
395	842	1285
396	844	1282
397	845	1278
398	846	1275
399	851	1277
400	853	1275
401	855	1272
402	856	1268
403	857	1264
404	858	1261
405	860	1258
406	861	1254
407	866	1256
408	867	1253
409	868	1249
410	869	1245
411	870	1242
412	871	1238
413	872	1235
414	873	1231
415	874	1228
416	875	1224
417	877	1221
418	880	1221
419	882	1219
420	883	1215
421	884	1212
422	886	1208
423	887	1205
424	888	1201
425	889	1198
426	890	1195
427	895	1197
428	898	1195
429	899	1192
430	900	1189
431	901	1185
432	903	1182
433	904	1179
434	906	1176
435	911	1178
436	912	1175
437	914	1172
438	915	1170
439	916	1166
440	917	1163
